Datetime,Heart Rate
2019-12-11 16:08:53,97
2019-12-11 16:09:03,106
2019-12-11 16:09:08,113
2019-12-11 16:09:13,112
2019-12-11 16:09:18,107
2019-12-11 16:09:23,105
2019-12-11 16:09:28,102
2019-12-11 16:09:38,97
2019-12-11 16:09:43,95
2019-12-11 16:09:53,96
2019-12-11 16:09:58,97
2019-12-11 16:10:13,97
2019-12-11 16:10:18,98
2019-12-11 16:10:23,99
2019-12-11 16:10:33,97
2019-12-11 16:10:38,95
2019-12-11 16:10:53,94
2019-12-11 16:10:58,96
2019-12-11 16:11:03,94
2019-12-11 16:11:18,94
2019-12-11 16:11:19,95
2019-12-11 16:11:24,97
2019-12-11 16:11:29,96
2019-12-11 16:11:44,96
2019-12-11 16:11:54,95
2019-12-11 16:11:59,96
2019-12-11 16:12:04,99
2019-12-11 16:12:09,98
2019-12-11 16:12:14,97
2019-12-11 16:12:19,96
2019-12-11 16:12:24,95
2019-12-11 16:12:34,91
2019-12-11 16:12:44,93
2019-12-11 16:12:49,95
2019-12-11 16:12:54,96
2019-12-11 16:13:09,95
2019-12-11 16:13:14,92
2019-12-11 16:13:24,93
2019-12-11 16:13:34,94
2019-12-11 16:13:39,97
2019-12-11 16:13:44,96
2019-12-11 16:13:59,96
2019-12-11 16:14:09,97
2019-12-11 16:14:19,98
2019-12-11 16:14:24,99
2019-12-11 16:14:34,100
2019-12-11 16:14:49,100
2019-12-11 16:14:54,100
2019-12-11 16:15:04,102
2019-12-11 16:15:14,103
2019-12-11 16:15:29,105
2019-12-11 16:15:34,107
2019-12-11 16:15:39,108
2019-12-11 16:15:44,106
2019-12-11 16:15:49,104
2019-12-11 16:15:54,103
2019-12-11 16:15:59,102
2019-12-11 16:16:09,101
2019-12-11 16:16:19,102
2019-12-11 16:16:24,101
2019-12-11 16:16:39,101
2019-12-11 16:16:49,100
2019-12-11 16:16:54,98
2019-12-11 16:16:59,93
2019-12-11 16:17:04,92
2019-12-11 16:17:09,93
2019-12-11 16:17:14,95
2019-12-11 16:17:19,96
2019-12-11 16:17:24,97
2019-12-11 16:17:29,98
2019-12-11 16:17:34,97
2019-12-11 16:17:44,98
2019-12-11 16:17:54,97
2019-12-11 16:18:04,96
2019-12-11 16:18:09,95
2019-12-11 16:18:14,96
2019-12-11 16:18:24,97
2019-12-11 16:18:39,99
2019-12-11 16:18:49,98
2019-12-11 16:18:59,100
2019-12-11 16:19:04,96
2019-12-11 16:19:09,91
2019-12-11 16:19:14,92
2019-12-11 16:19:19,91
2019-12-11 16:19:29,92
2019-12-11 16:19:34,93
2019-12-11 16:19:39,94
2019-12-11 16:19:49,95
2019-12-11 16:19:54,96
2019-12-11 16:19:59,97
2019-12-11 16:20:04,98
2019-12-11 16:20:09,97
2019-12-11 16:20:24,97
2019-12-11 16:20:29,98
2019-12-11 16:20:34,99
2019-12-11 16:20:39,98
2019-12-11 16:20:44,97
2019-12-11 16:20:49,95
2019-12-11 16:20:59,94
2019-12-11 16:21:04,95
2019-12-11 16:21:09,95
2019-12-11 16:21:14,95
2019-12-11 16:21:24,96
2019-12-11 16:21:29,94
2019-12-11 16:21:34,93
2019-12-11 16:21:39,95
2019-12-11 16:21:54,95
2019-12-11 16:22:04,94
2019-12-11 16:22:19,94
2019-12-11 16:22:24,93
2019-12-11 16:22:29,92
2019-12-11 16:22:34,93
2019-12-11 16:22:39,96
2019-12-11 16:22:44,97
2019-12-11 16:22:59,98
2019-12-11 16:23:04,99
2019-12-11 16:23:09,100
2019-12-11 16:23:24,101
2019-12-11 16:23:34,102
2019-12-11 16:23:39,106
2019-12-11 16:23:44,102
2019-12-11 16:23:49,91
2019-12-11 16:23:54,90
2019-12-11 16:23:59,91
2019-12-11 16:24:04,93
2019-12-11 16:24:09,95
2019-12-11 16:24:24,96
2019-12-11 16:24:29,96
2019-12-11 16:24:34,95
2019-12-11 16:24:39,93
2019-12-11 16:24:44,92
2019-12-11 16:24:49,92
2019-12-11 16:25:04,92
2019-12-11 16:25:09,93
2019-12-11 16:25:24,89
2019-12-11 16:25:29,85
2019-12-11 16:25:39,86
2019-12-11 16:25:44,88
2019-12-11 16:25:49,89
2019-12-11 16:25:54,92
2019-12-11 16:25:59,95
2019-12-11 16:26:14,97
2019-12-11 16:26:19,99
2019-12-11 16:26:24,98
2019-12-11 16:26:29,97
2019-12-11 16:26:46,97
2019-12-11 16:27:05,70
2019-12-11 16:34:20,70
2019-12-11 16:34:35,70
2019-12-11 16:34:45,72
2019-12-11 16:35:02,74
2019-12-11 16:35:11,75
2019-12-11 16:35:16,75
2019-12-11 16:35:26,75
2019-12-11 16:35:36,82
2019-12-11 16:35:41,88
2019-12-11 16:35:46,91
2019-12-11 16:35:56,94
2019-12-11 16:36:01,96
2019-12-11 16:36:06,98
2019-12-11 16:36:11,100
2019-12-11 16:36:21,101
2019-12-11 16:36:26,102
2019-12-11 16:36:31,104
2019-12-11 16:36:36,108
2019-12-11 16:36:41,111
2019-12-11 16:36:46,113
2019-12-11 16:36:51,116
2019-12-11 16:36:56,118
2019-12-11 16:37:01,119
2019-12-11 16:37:06,120
2019-12-11 16:37:11,122
2019-12-11 16:37:16,120
2019-12-11 16:37:21,121
2019-12-11 16:37:26,124
2019-12-11 16:37:31,127
2019-12-11 16:37:36,130
2019-12-11 12:56:24,82
2019-12-11 12:56:29,86
2019-12-11 12:56:34,90
2019-12-11 12:56:39,95
2019-12-11 12:56:44,97
2019-12-11 12:56:49,98
2019-12-11 12:56:54,98
2019-12-11 12:56:59,98
2019-12-11 12:57:04,99
2019-12-11 12:57:09,102
2019-12-11 12:57:14,100
2019-12-11 12:57:19,100
2019-12-11 12:57:24,101
2019-12-11 12:57:29,104
2019-12-11 12:57:34,102
2019-12-11 12:57:39,92
2019-12-11 12:57:44,93
2019-12-11 12:57:49,94
2019-12-11 12:57:54,95
2019-12-11 12:57:59,97
2019-12-11 12:58:04,98
2019-12-11 12:58:09,97
2019-12-11 12:58:24,93
2019-12-11 12:58:29,91
2019-12-11 12:58:39,92
2019-12-11 12:58:49,91
2019-12-11 12:58:54,90
2019-12-11 12:58:59,87
2019-12-11 12:59:14,86
2019-12-11 12:59:19,87
2019-12-11 12:59:24,89
2019-12-11 12:59:29,94
2019-12-11 12:59:34,95
2019-12-11 12:59:49,94
2019-12-11 12:59:54,95
2019-12-11 13:00:04,96
2019-12-11 13:00:09,97
2019-12-11 13:00:14,99
2019-12-11 13:00:19,99
2019-12-11 13:00:34,100
2019-12-11 13:00:39,100
2019-12-11 13:00:44,101
