Datetime,Heart Rate
11/14/19 0:00,76
11/14/19 0:00,79
11/14/19 0:00,84
11/14/19 0:00,78
11/14/19 0:00,76
11/14/19 0:00,75
11/14/19 0:00,73
11/14/19 0:00,72
11/14/19 0:00,70
11/14/19 0:01,69
11/14/19 0:01,71
11/14/19 0:01,75
11/14/19 0:01,82
11/14/19 0:01,80
11/14/19 0:01,74
11/14/19 0:01,76
11/14/19 0:01,82
11/14/19 0:01,86
11/14/19 0:02,87
11/14/19 0:02,83
11/14/19 0:02,75
11/14/19 0:02,73
11/14/19 0:02,74
11/14/19 0:02,75
11/14/19 0:02,76
11/14/19 0:02,77
11/14/19 0:02,80
11/14/19 0:02,82
11/14/19 0:03,87
11/14/19 0:03,92
11/14/19 0:03,98
11/14/19 0:03,100
11/14/19 0:03,99
11/14/19 0:03,99
11/14/19 0:03,100
11/14/19 0:03,100
11/14/19 0:03,100
11/14/19 0:03,103
11/14/19 0:03,94
11/14/19 0:03,83
11/14/19 0:04,82
11/14/19 0:04,84
11/14/19 0:04,86
11/14/19 0:04,85
11/14/19 0:04,84
11/14/19 0:04,82
11/14/19 0:04,79
11/14/19 0:04,75
11/14/19 0:04,75
11/14/19 0:05,76
11/14/19 0:05,76
11/14/19 0:05,75
11/14/19 0:05,75
11/14/19 0:06,75
11/14/19 0:06,76
11/14/19 0:06,77
11/14/19 0:06,78
11/14/19 0:06,78
11/14/19 0:06,77
11/14/19 0:06,76
11/14/19 0:07,77
11/14/19 0:07,78
11/14/19 0:07,78
11/14/19 0:07,78
11/14/19 0:07,78
11/14/19 0:08,79
11/14/19 0:08,77
11/14/19 0:08,77
11/14/19 0:08,76
11/14/19 0:08,76
11/14/19 0:08,75
11/14/19 0:09,74
11/14/19 0:09,74
11/14/19 0:09,75
11/14/19 0:09,76
11/14/19 0:09,76
11/14/19 0:09,75
11/14/19 0:09,74
11/14/19 0:09,75
11/14/19 0:10,73
11/14/19 0:10,71
11/14/19 0:10,71
11/14/19 0:10,74
11/14/19 0:10,74
11/14/19 0:10,74
11/14/19 0:11,74
11/14/19 0:11,73
11/14/19 0:11,73
11/14/19 0:11,73
11/14/19 0:12,74
11/14/19 0:12,74
11/14/19 0:12,74
11/14/19 0:12,73
11/14/19 0:12,72
11/14/19 0:13,71
11/14/19 0:13,73
11/14/19 0:13,72
11/14/19 0:13,71
11/14/19 0:13,72
11/14/19 0:13,71
11/14/19 0:13,70
11/14/19 0:14,70
11/14/19 0:14,70
11/14/19 0:14,70
11/14/19 0:14,70
11/14/19 0:14,70
11/14/19 0:15,70
11/14/19 0:15,70
11/14/19 0:15,71
11/14/19 0:15,70
11/14/19 0:15,70
11/14/19 0:15,71
11/14/19 0:15,71
11/14/19 0:15,72
11/14/19 0:16,76
11/14/19 0:16,76
11/14/19 0:16,74
11/14/19 0:16,74
11/14/19 0:16,75
11/14/19 0:16,80
11/14/19 0:16,88
11/14/19 0:17,92
11/14/19 0:17,96
11/14/19 0:17,91
11/14/19 0:17,92
11/14/19 0:17,96
11/14/19 0:17,105
11/14/19 0:17,111
11/14/19 0:17,115
11/14/19 0:17,124
11/14/19 0:17,129
11/14/19 0:17,136
11/14/19 0:18,138
11/14/19 0:18,138
11/14/19 0:18,139
11/14/19 0:18,140
11/14/19 0:18,138
11/14/19 0:18,135
11/14/19 0:18,132
11/14/19 0:18,128
11/14/19 0:18,123
11/14/19 0:18,122
11/14/19 0:18,118
11/14/19 0:18,109
11/14/19 0:19,79
11/14/19 0:19,75
11/14/19 0:19,72
11/14/19 0:19,71
11/14/19 0:19,69
11/14/19 0:19,69
11/14/19 0:19,70
11/14/19 0:19,71
11/14/19 0:20,72
11/14/19 0:20,73
11/14/19 0:20,74
11/14/19 0:20,78
11/14/19 0:20,78
11/14/19 0:20,79
11/14/19 0:20,76
11/14/19 0:20,75
11/14/19 0:20,75
11/14/19 0:21,73
11/14/19 0:21,72
11/14/19 0:21,71
11/14/19 0:21,71
11/14/19 0:21,71
11/14/19 0:21,72
11/14/19 0:21,71
11/14/19 0:21,72
11/14/19 0:22,71
11/14/19 0:22,71
11/14/19 0:22,75
11/14/19 0:22,81
11/14/19 0:22,80
11/14/19 0:22,80
11/14/19 0:22,81
11/14/19 0:22,80
11/14/19 0:22,79
11/14/19 0:22,76
11/14/19 0:23,73
11/14/19 0:23,74
11/14/19 0:23,74
11/14/19 0:23,73
11/14/19 0:23,73
11/14/19 0:23,72
11/14/19 0:23,70
11/14/19 0:23,69
11/14/19 0:24,69
11/14/19 0:24,70
11/14/19 0:24,72
11/14/19 0:24,72
11/14/19 0:24,71
11/14/19 0:24,74
11/14/19 0:24,77
11/14/19 0:24,78
11/14/19 0:25,76
11/14/19 0:25,73
11/14/19 0:25,72
11/14/19 0:25,71
11/14/19 0:25,70
11/14/19 0:25,69
11/14/19 0:25,69
11/14/19 0:26,70
11/14/19 0:26,70
11/14/19 0:26,70
11/14/19 0:26,71
11/14/19 0:26,78
11/14/19 0:26,84
11/14/19 0:26,81
11/14/19 0:27,78
11/14/19 0:27,76
11/14/19 0:27,75
11/14/19 0:27,75
11/14/19 0:27,74
11/14/19 0:27,74
11/14/19 0:27,75
11/14/19 0:27,74
11/14/19 0:28,73
11/14/19 0:28,73
11/14/19 0:28,72
11/14/19 0:28,71
11/14/19 0:28,70
11/14/19 0:28,70
11/14/19 0:28,71
11/14/19 0:29,70
11/14/19 0:29,70
11/14/19 0:29,70
11/14/19 0:29,70
11/14/19 0:29,69
11/14/19 0:29,70
11/14/19 0:29,70
11/14/19 0:30,70
11/14/19 0:30,71
11/14/19 0:30,71
11/14/19 0:30,71
11/14/19 0:30,72
11/14/19 0:31,72
11/14/19 0:31,75
11/14/19 0:31,76
11/14/19 0:31,75
11/14/19 0:31,74
11/14/19 0:31,74
11/14/19 0:31,72
11/14/19 0:32,72
11/14/19 0:32,72
11/14/19 0:32,71
11/14/19 0:32,71
11/14/19 0:32,70
11/14/19 0:33,70
11/14/19 0:33,71
11/14/19 0:33,71
11/14/19 0:33,73
11/14/19 0:33,74
11/14/19 0:33,75
11/14/19 0:34,75
11/14/19 0:34,82
11/14/19 0:34,78
11/14/19 0:34,77
11/14/19 0:34,74
11/14/19 0:34,74
11/14/19 0:34,75
11/14/19 0:34,76
11/14/19 0:35,79
11/14/19 0:35,79
11/14/19 0:35,78
11/14/19 0:35,75
11/14/19 0:35,73
11/14/19 0:35,72
11/14/19 0:35,73
11/14/19 0:35,74
11/14/19 0:35,72
11/14/19 0:35,69
11/14/19 0:36,68
11/14/19 0:36,69
11/14/19 0:36,71
11/14/19 0:36,70
11/14/19 0:36,69
11/14/19 0:36,70
11/14/19 0:36,72
11/14/19 0:36,73
11/14/19 0:37,73
11/14/19 0:37,74
11/14/19 0:37,76
11/14/19 0:37,78
11/14/19 0:37,79
11/14/19 0:37,80
11/14/19 0:37,78
11/14/19 0:37,75
11/14/19 0:37,75
11/14/19 0:38,76
11/14/19 0:38,77
11/14/19 0:38,78
11/14/19 0:38,80
11/14/19 0:38,79
11/14/19 0:38,79
11/14/19 0:38,82
11/14/19 0:38,80
11/14/19 0:39,78
11/14/19 0:39,76
11/14/19 0:39,75
11/14/19 0:39,74
11/14/19 0:39,73
11/14/19 0:39,77
11/14/19 0:39,78
11/14/19 0:40,77
11/14/19 0:40,75
11/14/19 0:40,72
11/14/19 0:40,72
11/14/19 0:40,73
11/14/19 0:40,74
11/14/19 0:40,74
11/14/19 0:40,73
11/14/19 0:41,72
11/14/19 0:41,72
11/14/19 0:41,75
11/14/19 0:41,75
11/14/19 0:41,78
11/14/19 0:41,78
11/14/19 0:41,77
11/14/19 0:41,76
11/14/19 0:41,75
11/14/19 0:41,75
11/14/19 0:42,75
11/14/19 0:42,74
11/14/19 0:42,73
11/14/19 0:42,73
11/14/19 0:42,72
11/14/19 0:42,72
11/14/19 0:42,72
11/14/19 0:43,73
11/14/19 0:43,73
11/14/19 0:43,72
11/14/19 0:43,71
11/14/19 0:43,72
11/14/19 0:43,71
11/14/19 0:44,72
11/14/19 0:44,81
11/14/19 0:44,80
11/14/19 0:44,76
11/14/19 0:44,74
11/14/19 0:44,73
11/14/19 0:44,72
11/14/19 0:44,72
11/14/19 0:45,72
11/14/19 0:45,73
11/14/19 0:45,74
11/14/19 0:45,73
11/14/19 0:45,71
11/14/19 0:45,71
11/14/19 0:45,70
11/14/19 0:45,70
11/14/19 0:46,70
11/14/19 0:46,70
11/14/19 0:46,69
11/14/19 0:46,69
11/14/19 0:46,70
11/14/19 0:46,72
11/14/19 0:47,73
11/14/19 0:47,72
11/14/19 0:47,71
11/14/19 0:47,71
11/14/19 0:47,71
11/14/19 0:47,72
11/14/19 0:48,71
11/14/19 0:48,72
11/14/19 0:48,71
11/14/19 0:48,70
11/14/19 0:48,69
11/14/19 0:48,69
11/14/19 0:48,68
11/14/19 0:48,69
11/14/19 0:49,69
11/14/19 0:49,69
11/14/19 0:49,70
11/14/19 0:49,70
11/14/19 0:50,70
11/14/19 0:50,71
11/14/19 0:50,70
11/14/19 0:50,70
11/14/19 0:50,71
11/14/19 0:50,69
11/14/19 0:51,69
11/14/19 0:51,69
11/14/19 0:51,70
11/14/19 0:51,71
11/14/19 0:52,71
11/14/19 0:52,70
11/14/19 0:52,70
11/14/19 0:52,71
11/14/19 0:52,71
11/14/19 0:53,71
11/14/19 0:53,72
11/14/19 0:53,72
11/14/19 0:53,71
11/14/19 0:53,71
11/14/19 0:53,70
